spectrum,budget_axis,model_independent,evidence_arxiv,evidence_phrase
"Dijet (inclusive, high mass)",m(jj),yes,1103.3864 1512.01530 1703.09127 1910.08447 2005.02983,Gaussian signal; model-agnostic; Model-independent; Model-independent; anomaly detection
Photon + jet,m(jgamma),yes,1112.3580 1309.3230 1512.05910 1709.10440,model-independent; model-independent; generic Gaussian; generic Gaussian
"Dijet (low mass, trigger-level)",m(jj),yes,1804.03496 2606.03222,Gaussian-shaped; generic Gaussian
Dijet + ISR photon/jet,m(jj),yes,1901.10917 2403.08547,generic Gaussian; Gaussian-shaped
"Dijet, b-tagged",m(bb),yes,1603.08791 1805.09299,Gaussian signal; Gaussian-shaped
"Dijet, b-tagged",m(bj),yes,1603.08791 1805.09299,Gaussian signal; Gaussian-shaped
Pair-produced dijet resonances (4 jets),m(jj),no,,
Three-jet / multijet (3-quark res.),m(3j),no,,
Z + light hadronic resonance (H decay),-,no,,
Dijet + isolated lepton,m(jj),yes,2002.11325,generic Gaussian
Dijet from dark quarks,m(jj),no,,
Boosted light hadronic res. + photon,-,no,,
Diphoton (high mass),m(gammagamma),no,,
Diphoton (low mass / boosted),m(gammagamma),yes,2407.07546,model-independent
"Diphoton, extra dimensions",m(gammagamma),no,,
Photon-jets (collimated gamma pairs),-,no,,
Diphoton + forward protons (ALP),m(gammagamma),no,,
H -> Za -> ll gamgam,-,no,,
Ditau,m(tautau),yes,2409.20381 2607.28484,model-independent; model independent
"Dilepton (ee/mumu, high mass)",m(ee),yes,2105.13847,model-independent
"Dilepton (ee/mumu, high mass)",m(mumu),yes,2105.13847,model-independent
Lepton-flavour-violating dilepton (e-mu/e-tau/mu-tau),m(emu) LFV,no,,
Lepton-flavour-violating dilepton (e-mu/e-tau/mu-tau),m(etau) LFV,no,,
Lepton-flavour-violating dilepton (e-mu/e-tau/mu-tau),m(mutau) LFV,no,,
Four leptons / 4mu,m(ee) (Zd),yes,1802.03388,model-independent
