arxiv,year,spectrum,z_local,z_global,sentence
1606.03833,2016,Diphoton (high mass),3.9,2.1,"Varying both the mass and the decay width, the most significant deviation from the background-only hypothesis is observed at a diphoton invariant mass around 750 GeV with local significances of 3.8 and 3.9 standard deviations in the searches optimized for a spin-2 and spin-0 particle, respectively."
2404.12915,2024,X -> S H (scalar + Higgs),3.5,2.0,"The largest deviation from the background-only expectation occurs for ($m_{X}$, $m_{S}$) = (575, 200) GeV with a local (global) significance of 3.5 (2.0) standard deviations."
1707.06958,2017,"VH (llbb, lvbb, vvbb)",3.3,2.1,"The data are in agreement with the Standard Model expectations, with the largest excess found at a resonance mass of 3.0 TeV with a local (global) significance of 3.3 (2.1) $σ$."
2110.00313,2021,H -> aa (exotic Higgs decays),3.3,1.7,The largest excess of events above the Standard Model backgrounds is observed at a dimuon invariant mass of 52 GeV and corresponds to a local (global) significance of $3.3 σ$ ($1.7 σ$).
2209.10910,2022,HH -> bb tautau,3.1,2.0,"The largest excess in the resonant search is observed at a resonance mass of 1 TeV, with a local (global) significance of $3.1σ$ ($2.0σ$)."
1503.03290,2015,SFOS dilepton + MET (edge),3.0,,"For the former, an excess of events above the expected Standard Model background is observed, with a significance of 3 standard deviations."
1205.0701,2012,Diphoton (high mass),2.9,,"The largest excess with respect to the background-only hypothesis is found at 125.5 GeV, with a local significance of 2.9 standard deviations, which reduces to 1.6 standard deviations when taking into account the look-elsewhere effect."
1202.1414,2012,Diphoton (high mass),2.8,,"In the diphoton mass range 110-150 GeV, the largest excess with respect to the background-only hypothesis is observed at 126.5 GeV, with a local significance of 2.8 standard deviations."
1406.5053,2014,HH -> bb gamgam,2.4,,"The difference derives from a modest excess of events, corresponding to 2.4 standard deviations from the background-only hypothesis."
1512.03704,2015,"tb resonances (W-prime, charged Higgs)",2.4,,"An excess of events above the background-only hypothesis is observed across a wide mass range, amounting to up to 2.4 standard deviations."
1506.00962,2015,Diboson fully hadronic (boson-tagged jets),,2.5,"The largest deviation from a smoothly falling background in the observed dijet invariant mass distribution occurs around 2 TeV in the $WZ$ channel, with a global significance of 2.5 standard deviations."
